Item URL,Name,Price,Sizes Available,SKU,Categories,Description,All image URLs
https://www.copunderdog.com/shop/sneakers/adidas/adidas-yeezy-powerphase-calabases-core-white/,Adidas Yeezy Powerphase Calabases Core White,"₹16,100.00",8,N/A,"Adidas,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/07/calab.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-handcrafted/,Nike Air Jordan 1 High “Craft” Handcrafted,"₹22,999.00",9.5,N/A,"Jordans,Sneakers","BRAND NEW, ",https://www.copunderdog.com/wp-content/uploads/2021/12/43.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-triple-white/,Nike Air Jordan 1 Low ‘Triple White’,"₹16,999.00","6.5,7.5",N/A,"Jordans,Jordans,Jordans | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/04/air-jordan-1-low-triple-white-553558-130-16196187276113.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-marina-blue/,Nike Air Jordan 1 Low ‘Marina Blue’,"₹16,999.00","4,7",N/A,"Jordans,Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/05/DC0774-114_sivasdescalzo-Jordan-Women_s_Air_Jordan_1_Low_Marina_Blue_-1649409368-1.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-madder-root/,Nike Air Jordan 1 Low Madder Root,"₹17,999.00","6.5,9",N/A,"Jordans,SALE-2022,Sneakers",BRAND NEW,https://www.copunderdog.com/wp-content/uploads/2022/02/41.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-bordeaux/,Nike Air Jordan 1 Retro High OG ‘Bordeaux’,"₹21,999.00",5.5,N/A,"Jordans,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/11/air-jordan-1-bordeaux-555088-611-release-date.jpg
https://www.copunderdog.com/shop/sneakers/air-jordan-1-low-plum/,Nike Air Jordan 1 Low Mulberry,"₹14,999.00",6,N/A,"Bae Section,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/10/DC7268-500-1-850x850-1.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-4-metallic-orange/,Air Jordan 4 Metallic Orange,"₹39,999.00",11,N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/10/jordan-4-red.jpg
https://www.copunderdog.com/shop/sneakers/jordans/jordan-1-low-court-purple/,Nike Air Jordan 1 Low Court Purple,"₹30,999.00",8,N/A,"Jordans,Jordans,Jordans | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/06/b92c9d61c926978a1cf0fbfd6fde752d.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-south-beach/,Nike Air Jordan 1 Mid SE South Beach,"₹19,999.00","11,12",N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/12/southbeach_1200x.webp
https://www.copunderdog.com/shop/sneakers/others/new-balance-2002r-conversations-amongst-us/,New Balance 2002R “Conversations Amongst Us”,"₹25,500.00",8,N/A,"Others,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/07/M2002RJ1.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-ajko-rush-orange-syracuse/,Air Jordan 1 Retro AJKO Rush Orange ‘Syracuse’,"₹16,500.00",7,N/A,"Jordans,Jordans,Jordans | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/05/ajko-1-rush-orange-do5047-801-release-date.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-6-retro-unc/,Air Jordan 6 Retro “UNC”,"₹24,999.00","7,8,8.5,9,10",N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/03/Air-Jordan-6-UNC-CT8529-410-01-750x750-1.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-utility-black/,Nike Air Jordan 1 Low Utility Black,"₹16,999.00","5,6",N/A,"Jordans,Sneakers","BRAND NEW,READY TO SHIP, ",https://www.copunderdog.com/wp-content/uploads/2021/12/5P418_1105_left2.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-ko-1-chicago/,Air Jordan KO 1 Chicago,"₹27,500.00",8,N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/06/aj.ko_.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-air-max-97-1-shawnwitherspoon/,Nike Air Max 97/1 Sean Wotherspoon,"₹110,000.00",6.5,N/A,"Bae Section,Nike,SALE-2022,Sneakers","Pads,In store ready to ship",https://www.copunderdog.com/wp-content/uploads/2021/04/Adobe_Post_20210408_1632360.14526081000923263.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-4-retro-university-blue/,Nike Air Jordan 4 Retro University Blue,"₹44,999.00","4.5,8",N/A,"Bae Section,Jordans,Sneakers","BRAND NEW,READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/04/5.png
https://www.copunderdog.com/shop/sneakers/nike/dunk-low-next-to-nature-sail/,Dunk Low Next To Nature Sail,"₹15,999.00",4.5,N/A,"Bae Section,Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/10/next-to-nature-sail.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-4-lightning-yellow/,Air Jordan 4 Lightning Yellow,"₹25,999.00","5.5,6,8",N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/08/lightning-4.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-black-multi-camo/,Nike Dunk Low Black Multi Camo,"₹14,999.00",10,N/A,"Nike,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/09/camo-1.jpg
